,address,attributes,business_id,categories,city,hours,is_open,latitude,longitude,name,neighborhood,postal_code,review_count,stars,state
2228,3300 Bloor Street W,"{'BikeParking': 'True', 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'WiFi': 'free'}",0rg8sJGPWebnxNFExpNdHA,"Food, Coffee & Tea",Toronto,"{'Monday': '5:30-20:0', 'Tuesday': '5:30-20:0', 'Wednesday': '5:30-20:0', 'Thursday': '5:30-20:0', 'Friday': '5:30-20:0', 'Saturday': '7:0-17:0', 'Sunday': '9:0-17:0'}",1,43.6451848,-79.5224953,Starbucks,Etobicoke,M8X 2X3,3,2.5,ON
2433,1050 Islington Avenue,"{'BikeParking': 'True', 'Caters': 'True', 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'WiFi': 'free'}",DeGSNRgk2sAfYbliAa6m2A,"Coffee & Tea, Local Flavor, Food",Toronto,"{'Monday': '5:30-22:0', 'Tuesday': '5:30-22:0', 'Wednesday': '5:30-22:0', 'Thursday': '5:30-22:0', 'Friday': '5:30-22:0', 'Saturday': '7:0-22:0', 'Sunday': '7:0-22:0'}",1,43.6343020696,-79.5198344385,Second Cup,Etobicoke,M8Z 4R6,3,2.5,ON
2694,5379 Yonge Street,"{'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True', 'WiFi': 'free'}",j_aPSU74xzffmw0lcrY8kQ,"Desserts, Food, Bakeries, Coffee & Tea",Toronto,"{'Monday': '12:0-21:0', 'Tuesday': '12:0-21:0', 'Wednesday': '12:0-21:0', 'Thursday': '12:0-21:0', 'Friday': '12:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-21:0'}",1,43.7759804,-79.4143258,Capriccio,Willowdale,M2N 5R6,60,3.5,ON
2713,333 Bremner Boulevard,"{'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '2', 'WheelchairAccessible': 'True', 'WiFi': 'free'}",AhRd1MUgnXhCQTTIu3Z2SQ,"Coffee & Tea, Food",Toronto,"{'Monday': '6:30-23:30', 'Tuesday': '6:30-23:30', 'Wednesday': '6:30-23:30', 'Thursday': '6:30-23:30', 'Friday': '6:30-23:30', 'Saturday': '7:0-23:30', 'Sunday': '7:0-23:30'}",0,43.6405545983,-79.3912861202,Spot Coffee,City Place,M5V 3V3,47,3.0,ON
2754,415 Spadina Road,"{'BikeParking': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '1', 'WiFi': 'free'}",xkoQ1c4c6F9Fy3J73kN7Rg,"Food, Coffee & Tea",Toronto,,1,43.6887909487,-79.4125807285,Second Cup,,M5P 2W3,4,4.5,ON
2932,107 Mutual Street,"{'BikeParking': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'WiFi': 'free'}",L23nB3EiC0OSfP8792Bk-Q,"Restaurants, Cafes, Food, Coffee & Tea",Toronto,"{'Monday': '7:30-17:0', 'Tuesday': '7:30-17:0', 'Wednesday': '7:30-17:0', 'Thursday': '7:30-17:0', 'Friday': '7:30-17:0', 'Saturday': '9:0-14:0'}",0,43.6570344,-79.3755449,RISE Espresso,Downtown Core,M5B 2B2,26,4.5,ON
3093,605 College Street,"{'BusinessAcceptsCreditCards': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '2', 'WheelchairAccessible': 'True', 'WiFi': 'free'}",3vlAG8FVYRB9wEIZXFk3ag,"Coffee & Tea, Event Planning & Services, Venues & Event Spaces, Food",Toronto,"{'Monday': '9:0-16:30', 'Tuesday': '9:0-16:30', 'Wednesday': '9:0-16:30', 'Thursday': '9:0-18:30', 'Friday': '9:0-18:30', 'Saturday': '9:0-16:30', 'Sunday': '9:0-16:30'}",0,43.6551214,-79.4143125,Playful Grounds,Little Italy,M6G,6,3.0,ON
3228,"2300 Yonge Street, Unit PL4","{'BikeParking': 'True', 'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False', 'DogsAllowed': 'True', 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True', 'WiFi': 'free'}",E0djzqBHz923hwj-MJFO6Q,"Bubble Tea, Food, Coffee & Tea Supplies, Coffee & Tea",Toronto,"{'Monday': '10:0-22:0', 'Tuesday': '10:0-22:0', 'Wednesday': '10:0-22:0', 'Thursday': '10:0-22:0', 'Friday': '10:0-22:0', 'Saturday': '10:0-22:0', 'Sunday': '10:0-22:0'}",1,43.7072763,-79.3995622,The Fresh Tea Shop,Yonge and Eglinton,M4P 1E4,17,3.5,ON
3347,201 Dundas Street W,"{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '1', 'WiFi': 'free'}",bdFFShNt7eAGGGAaKfG3NQ,"Food, Coffee & Tea",Toronto,,0,43.6549537,-79.3872888,Latte Mei,Downtown Core,M5G 2E8,15,4.0,ON
3350,15 Ossington Avenue,"{'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV': 'False', 'OutdoorSeating': 'True', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'False', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'False', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'True', 'WiFi': 'free'}",DAfWBoWNe_B5_lJAfYH5KQ,"Cafes, Food, Coffee & Tea, Restaurants",Toronto,"{'Monday': '7:0-20:0', 'Tuesday': '7:0-20:0', 'Wednesday': '7:0-20:0', 'Thursday': '7:0-20:0', 'Friday': '7:0-21:0', 'Saturday': '7:0-21:0', 'Sunday': '7:0-20:0'}",1,43.6445981,-79.4188727,Jimmy's Coffee,Ossington Strip,M6J 2Y8,24,4.0,ON
3356,65 Dundas Street W,"{'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'WiFi': 'free'}",s7Cq3DdSELAU_IFYXOnicg,"Coffee & Tea, Food",Toronto,"{'Monday': '6:0-22:0', 'Tuesday': '6:0-22:0', 'Wednesday': '6:0-22:0', 'Thursday': '6:0-22:0', 'Friday': '6:0-22:0', 'Saturday': '8:0-21:0', 'Sunday': '8:0-21:0'}",1,43.6557894205,-79.3829541717,Starbucks,Downtown Core,M5G 2C5,7,3.0,ON
3534,3 Elm Street,"{'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False', 'DogsAllowed': 'False', 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'WheelchairAccessible': 'False', 'WiFi': 'free'}",J-cXzP24JUjp8ebxUTwfaA,"Bubble Tea, Food, Tea Rooms, Coffee & Tea, Juice Bars & Smoothies",Toronto,"{'Monday': '12:0-23:0', 'Tuesday': '12:0-23:0', 'Wednesday': '12:0-23:0', 'Thursday': '12:0-23:0', 'Friday': '12:0-0:0', 'Saturday': '12:0-0:0', 'Sunday': '12:0-22:0'}",0,43.6576241187,-79.3818469718,Chachago,Downtown Core,M5G 1H1,54,3.5,ON
3650,73 Front St E,"{'BusinessAcceptsCreditCards': 'False', 'RestaurantsPriceRange2': '1', 'WheelchairAccessible': 'True'}",hsgtedqml9ZDB2cbTZe_mA,"Donuts, Coffee & Tea, Food",Toronto,,0,43.6486942,-79.3731313,Tim Hortons,St. Lawrence,M5E 1B8,5,3.0,ON
4048,132 Yonge Street,"{'Alcohol': 'full_bar', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'touristy': False, 'trendy': False, 'upscale': True, 'casual': False}"", 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': True, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV': 'False', 'NoiseLevel': 'average', 'OutdoorSeating': 'False', 'RestaurantsAttire': 'casual', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'True', 'RestaurantsTakeOut': 'True', 'WiFi': 'free'}",ryEwIARbKHvb0lCkAam8dQ,"Italian, Bakeries, Restaurants, Food, Coffee & Tea",Toronto,"{'Monday': '8:0-22:0', 'Tuesday': '8:0-22:0', 'Wednesday': '8:0-22:0', 'Thursday': '8:0-22:0', 'Friday': '8:0-23:0', 'Saturday': '8:0-23:0', 'Sunday': '8:0-22:0'}",1,43.6509163401,-79.3787852302,Sud Forno,Downtown Core,M5C 1X3,95,3.5,ON
4245,1000 Gerrard,"{'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'False', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'False', 'RestaurantsReservations': 'False'}",Fgt70HjHhw5IVYNYulsAng,"Food, Restaurants, Coffee & Tea, Food Stands, Desserts",Toronto,,0,43.6688041,-79.3389132,Crepe it Up,Leslieville,M4M 3G6,6,2.5,ON
