,average_stars,elite,name,review_count,useful,user_id,yelping_since
40397,3.67,None,Chris,3,0,ki8xobsnb9TBoj9ouydgWQ,2014-08-04
40408,3.75,None,Cindy,8,0,j7HHTCB94ldwjgo8ka3YyQ,2016-08-24
40481,4.75,None,Ollie,4,0,NA4sslQXta6U263fqzwKiw,2016-02-09
41383,4.46,None,Chelsea,24,0,m1FgpwFph9zI3jUIZhll3A,2014-11-04
43145,4.5,None,Jordan,2,1,s_34vECKLQT_kITGknsuLw,2014-09-13
43183,4.33,None,Marie,3,0,lKLyl2QQt5eITsUdAb_54Q,2017-11-03
43429,3.73,None,Sharon,11,3,UV3gi8WHRKtI-VNGF8--zQ,2016-07-08
45558,4.0,None,Priscilla,5,1,DeFSgz-qnsIgZj4NhUfuvQ,2012-10-16
47577,5.0,None,Victore Anthony,1,0,VDGMV7aLaUm3dGlv3tKnBg,2016-11-06
48127,3.25,None,Carly,4,0,OlL-dgBKcFKIWjratYqQmg,2016-02-25
48426,2.0,None,B,4,0,7H6llvl7Zo16Gx1MlLESYg,2013-04-22
48753,1.0,None,Tasneem,1,0,SHHJhGjV3ygkE64V0tBDmQ,2017-04-29
49585,3.18,None,Vera,11,5,PBXMWGnnhQplpaHke1VElg,2014-12-03
51152,5.0,None,Bikramjit,1,0,q411gy7ORK9mS6tFMqsNTA,2017-03-19
51561,1.67,None,A,3,1,_Jtte9X5Ss9-MlMgkteD3g,2016-03-28
51732,3.88,None,Colleen,8,0,f1ysF1RzPPAmxon_dV5A0A,2015-05-01
52554,3.67,None,Philip,3,0,aRNDwURoL8h8hv_y2DfT1g,2015-10-10
53706,3.9,None,Mike,20,0,G5lguI8D1meFabhwZFR51A,2014-11-27
53853,5.0,None,Simone,2,1,k3q4qEDQFU2ALmSzVfq4Fw,2016-01-24
55013,4.33,None,Lisa,3,0,VN5-9_V18fZOzxsn5miyPg,2017-08-29
56145,4.0,None,Ally,5,0,5FZqrQIT2lNrhsOrIUajRA,2016-06-04
56210,1.0,None,Dorian,2,1,QdZiMcJO8aVgE5ByqZUM3w,2014-04-07
56389,5.0,None,David,2,0,wRsSD140Sb4Cg3uALX3rNw,2017-06-28
57157,5.0,None,Melanie,2,0,WSb-Nweb6wLtHEEj92AcUA,2013-12-14
57566,3.0,None,Janice,2,0,0mMsBvru_SUimVGT_n8Gag,2015-10-19
58048,2.0,None,Myles Anne,1,0,td501WaJ1iksMr-Qi_RAvQ,2017-05-22
59422,3.5,None,Wesley,16,0,bZon-a7zV1N-DI1jn22L8g,2016-10-14
61461,3.86,None,Lenore,5,0,Ii0iAMLvEMB3Ej9RaUuJ4Q,2015-06-24
62159,3.94,None,Gokhan,79,5,GJG-I-e5xMVLAtnVcaWgtA,2011-04-30
62829,3.71,None,Pikster,23,0,VpzBz0L8n9i_BHJqs0IFWQ,2013-07-29
63061,3.87,None,Doris,22,36,_nb87_W6uzJdh-M3Py59rw,2015-01-18
63858,1.33,None,JS,4,4,OorTVYJpEhZbnf3Oh_G5lw,2016-04-27
64661,2.69,None,Andrei,13,12,cuRL1mg9MSrIgQKY2NXr1g,2010-04-30
64726,2.44,None,Andrea,9,1,jO1Ey-_KPddlG9wTxYFIwQ,2014-05-13
66426,3.5,None,Antoniette,2,30,WO7N4ShNQAnQx0sBsYaa7Q,2012-10-14
66690,5.0,None,Daniel,1,0,qOMQzGtOJ3WBrVYcnbbF_A,2014-06-24
67292,4.28,None,Alyssa,57,281,6-2D-jJqRBVZSLQ-9U4GEQ,2012-10-01
68689,5.0,None,Solomon,1,0,NEdiQO1lE0YEux0EieNw7Q,2017-05-25
69101,3.56,2017,Kam,27,31,UxwiJpYSqOZJQzUMF6Xl6A,2013-03-29
69878,3.36,None,Richard,13,55,Mc0LgEFVtTrHikv_wc-g_A,2013-02-25
70935,3.4,None,Annie,10,2,5CiFm44xwHhCHMibVr5dhg,2014-07-13
71170,1.8,None,Maria,5,1,K--N2BsmnFaVafaQYJhoSA,2013-11-05
71363,3.5,None,Ye,2,4,eYrHhAb2ieWuqwNGjAbQDg,2012-12-24
72401,3.33,None,Elly,6,0,cco8-aEG4y4zW4R6WlMDXA,2015-01-07
72738,2.0,None,Amy,3,1,odL0kqdNUftPatCgAlkQ4A,2017-08-09
75190,3.4,None,Thea,14,7,YGTD_ZwgyLZNBjBA3bMWag,2015-04-26
76206,3.67,None,C,5,19,I3Z3rVVyBEPoQWtcUh-_sQ,2017-03-22
77929,5.0,None,Alisha,1,0,ixvYioQ423Uekdhq_3yhcg,2014-07-30
78981,5.0,None,Natalie,1,0,8egi9aymvIczcdvHoFMpBw,2017-01-09
79046,5.0,None,Brandon,1,0,76FTUUWpxTe8GxrHTcTErQ,2010-07-13
79421,5.0,None,Arjan,3,0,H601hTCifE4aHV_qTaQtRw,2013-07-09
80243,3.0,None,Brian,4,5,g-3JmJ2cKKNzq6TMDBWPRg,2011-05-01
81042,4.15,None,Megan,12,6,toPIPvcayc58-q9nhyMDdQ,2014-12-16
82154,3.15,None,Katie,11,8,6LAXnbdIboKTp73ZXsUHDA,2014-11-30
82342,2.5,None,Tikkin,6,5,z6jE-5BEsfnBSridHm_AVA,2010-06-05
83069,2.8,None,Andrew,5,0,1Rv06qT922hbmiLh8h2kZw,2014-06-22
83221,3.0,None,Sherynne,2,0,gIwY4IuKQkr5RsIK6UnVPA,2013-12-10
83285,2.0,None,Sem,3,0,5KreYSGdgJZja4iJR3eHsw,2017-05-13
83402,4.93,None,Dr. Ben,26,0,OLf2RIQdy1S7w_03iEryzA,2014-01-20
83533,3.76,None,Fred,15,56,2g-ZWZyoMcROGO4n9gJh8A,2012-11-24
84215,3.6,None,Review,10,1,_xYUfXEyEZqUzGD6NYWOqQ,2015-09-02
84256,3.63,None,Athena,19,6,oYYxqbRWb92oBajOQP8NlA,2012-01-05
84661,2.85,None,Anya,33,4,2QsIQuJC_c9IgE0QxOJwiw,2015-01-27
84731,3.45,None,Reece,20,0,2Z0mV4RqSGLZCTUKqzjjRg,2011-07-16
86097,1.0,None,Alexander,1,1,BmmBbRPGIw92gExn6kfu9A,2017-04-10
86276,4.44,None,Sari,16,0,1J59N0cbR6EdcVM0P4puCA,2015-08-04
86429,1.0,None,Y,1,0,He2eHMBVhqPsgEiMJv0_sA,2014-11-17
87111,4.11,None,Steve,6,1,wfQvD81SI52D086TigvcEQ,2016-11-04
88374,3.5700000000000003,None,M.,67,0,vdGYwut2Cum6QzoFAVldEg,2014-09-16
89262,5.0,None,Kevin,1,0,9pwldXzWwErrpoM3ICJlgQ,2016-09-03
89546,3.94,None,Liz,16,2,woasmYm6i33WfjvNWl1-7Q,2010-11-08
89847,4.0,None,Arthur,1,0,_Krelcnp7Blu2tre5Xxslg,2017-06-30
90179,5.0,None,Andrew,2,0,NJdZWewNhZ-a5KBiqNuOdg,2014-11-07
90317,3.67,None,Cheryl,3,0,VTc1g2Eh1oEB6v1XdenLVQ,2016-12-31
91406,4.2,None,Ingo,34,5,ywZU6r9guyirs5pmnt0NmQ,2012-04-04
91623,3.33,None,Jessica,3,2,DzIdl601N0j43R2mOR16Cw,2017-05-05
92179,2.88,None,J,8,0,3bNWJpvjHACvFATEHOG6yw,2016-11-20
93054,2.67,None,Sophielau,6,0,Flx3redL_LtsX8Igo4bLCA,2017-04-03
94261,4.28,None,Olivia,18,0,n5gH2-MJSt9zBPteJNhadA,2014-05-30
97363,2.17,None,Max,5,0,BEFyiHuAUCcCMPUOfcpVzg,2015-08-22
98156,4.67,None,Rock,3,0,fHz7M4fQhU7hSWJBKReQfA,2016-11-29
98642,5.0,None,Sam,1,0,GVuNj1sB_MlbDQArB3vP0A,2017-02-28
99212,5.0,None,Jennifer,1,0,tug6f3Gqxzp2n8B_04jJig,2013-02-15
99372,5.0,None,Maha,4,0,uO7NRx7aI9tCxMfP6U5_Sw,2017-01-05
1497,4.12,None,Matt,26,6,gCsB-busxTvg1nG9rw5XRQ,2014-11-15
1548,1.0,None,Niloufar,1,0,-KHtjKV6qUTP0VIX1VHcyA,2017-06-01
2105,5.0,None,Andrij,3,0,o970Vf1Nm3CODT16jtdlpQ,2016-10-06
2866,3.4,None,Natasha,9,13,Xvs99oxVtuCXxFTkb1BXWw,2012-04-23
3295,3.4,2013,Steve,84,7,oZfEvCP9JMYzIp13AF2sPw,2009-02-02
3475,2.0,None,Hidaya,2,0,OQHiaA3vyVDnSfHH_ZQEUw,2017-09-04
4217,3.68,None,C,55,12,srlAwL7dNVWYiK3qSXmUOg,2009-10-26
4741,2.86,None,Sarah,28,38,2mAsoUlSD4FtHV1fATTv5g,2011-06-26
5268,4.33,None,Ally,3,0,gDflwr2jJQeGZj0MHFmcOg,2016-03-19
5867,2.24,None,Jennifer,17,1,5BB85ZdjoM_qCyCxEh3FAA,2014-06-28
8709,4.15,None,Cam,25,3,37wul9JpUhFlh4tzqcJpjA,2015-08-25
8971,4.08,None,Rebecca,22,6,yj7NGO6-B7qDKVXVoEjErg,2013-09-20
9347,2.42,None,Richard,11,0,I7GuK8joEI80c6YAgKl6NQ,2015-06-19
10352,3.19,None,L,24,35,r_hz3sTYmG0oJSSq4SOw3A,2010-09-14
11921,3.33,None,Jen,2,0,AlQKoSRySVtNlnoXVrmq7A,2015-10-09
11941,4.4,None,Lisa,10,3,Jnub3_HMi4VpjU89peykWA,2009-12-16
14484,4.0,None,Diane,1,0,TW06kmzH2WYUl5knR_yqDw,2016-12-27
14565,5.0,None,Louise,1,0,DW8FweR627hjfTvDf2cB1A,2013-08-22
14591,4.55,None,Tulin,10,0,ws5mzx2CrrIte4UvRDHILA,2013-09-13
14846,3.43,None,Genesis,40,1,o-wBw4SHzYgtdaGcz9B_Cg,2014-06-22
15064,2.5,None,Carmen,4,0,k5mRNcFrXaZseHfN51apEw,2017-02-15
15090,3.54,None,Anna,27,0,I1nS4K4eaZ8UhjkIDkBbCQ,2012-01-16
15337,3.0,None,Michael,3,9,kpjB9jg8EZonbtwfrJeKUw,2012-10-05
15874,1.0,None,Angie,2,5,IvaYc8jMuVWsCm0ntcEcCA,2012-10-10
16050,4.17,None,Alicia,12,0,EEt1XnY96qC-glsOKICtqw,2014-04-21
16396,4.0,None,Andrew,29,2,71cdbVkIZJgk4UVGClHMpg,2010-10-12
16762,4.67,None,Betty,3,0,NKfxCnKskaTaUpiGm4pMEw,2016-07-11
16967,3.59,"2017, 2018",Krina,37,6,8fxXTiACaU5op81ZJs1frQ,2017-03-28
17226,4.76,None,Amanda,17,0,DKVpI7dHmNXQtDBWHu4CFQ,2016-09-11
17393,4.55,None,Kia,10,0,88664-rHcQo4C9NPNe3rYQ,2010-10-19
18045,1.0,None,Leo,1,0,KYrce8AQ3G4K2ImRf5-beQ,2017-05-06
19252,3.5300000000000002,"2017, 2016",Natalie,51,14,eyhLcEHp3IfEspvmuL1ZiQ,2016-03-04
19708,2.89,None,Laura,9,2,arQ6fVid5Bn1rkzWbi5wVg,2016-01-01
20230,4.21,"2016, 2017",Connie,47,57,FFe8MdeQXSVh2hOMW6h94w,2013-05-07
22152,3.5,None,Jason,4,0,KEZywPG89OoyV6yU55oJfw,2013-09-14
22184,3.51,None,Irene,41,8,m-6z8JhD_7F5sJKwkSIiLw,2014-05-28
23236,3.93,"2017, 2016, 2015",Emily,82,20,YryWtgQYHDiekENrQymjJA,2013-01-15
23256,3.5,None,An,6,0,nRfV_7taZPASpCYNJQH6iw,2016-06-05
23798,3.6,None,Hannah,5,0,AuZ4v2Ean-Hses8-x-KOaA,2017-04-12
23990,5.0,None,Carla,1,0,FXxfVC_yeEEwcTZFobx5LQ,2017-12-14
24113,3.67,None,Catt,3,0,d5bPIZ3_zWcE_ADPD4T60g,2017-10-17
24250,3.73,None,Ben,14,4,DRgmnkS3yo__xL9d1AOIaw,2012-12-23
25153,4.0,None,Tim,3,0,ezvaMI_Y4hIwRyxdWvzz5Q,2017-04-19
25195,3.6,None,Sydney,5,0,7tuqXJOcIWLMnh6AoHMUlQ,2016-05-25
25414,1.81,None,Shani,11,1,CcH9nOfVDLLZsU4l6aTaVg,2012-11-06
25781,5.0,None,Jeremy,1,0,rHoETif-XQ8VkQ8moHofSA,2015-10-07
26232,3.5,None,Rachel,11,4,Rkt2C9h1s-Fc5B7ye2BjcA,2016-02-15
26697,3.0,None,Enaira,1,1,RM_Gm8OGMiKVry4qu304lw,2016-10-07
27647,1.0,None,Cyn,1,0,nT9Wro9Msh46xRkG2PsSxQ,2014-04-22
29596,5.0,None,Amina,5,1,H_HkOIdrBoWJKIOn-mcGSQ,2013-03-04
29622,5.0,None,Marko,1,0,WaHlW5pBEDUQKzQyJxC36Q,2016-09-30
31458,3.63,None,Blake,8,0,1cKtczDx6Kkjx3fSEYKqkQ,2014-09-08
32771,3.52,None,Cindy,41,1,cbGOTYFn4tZrfaDsNc-4Sw,2013-06-05
33266,2.0,None,Marc,4,1,9wAGFBGNkoJqMSIz39HQvw,2015-06-04
33359,1.0,None,Lisa,4,1,eyUloIpShxpl6Ik9kJBC3w,2012-02-19
34269,3.73,None,Erich,15,0,GGoSYRCzDsK6m0vtwiOrBA,2016-08-03
35377,3.03,None,Kim,30,14,zfeENi9A2N3k3cSWs3jugA,2013-02-21
35704,4.5,None,Karen,2,0,YjuRt-HPVt7GRX0B541oTA,2017-04-02
36167,5.0,None,Merire,1,0,FYF2NDc1JoeqV1q7MQedjg,2016-09-29
36731,1.0,None,Is,4,0,a0ovcPvCG-6WvlbHAPj5VA,2015-03-26
38012,4.17,None,Kayla,6,0,Uzd-xtRl9u_IBEsaJoqGFg,2014-08-26
38155,3.33,None,Mich,3,0,gvaozOK0m1aWfwEPUilLow,2017-01-22
38230,3.7,None,Kristen,10,5,aL47B2m_B6HH-ax7ewU8qw,2017-03-11
39227,1.5,None,Alycia,2,0,yY4IWAFbEYBK8oDd0lKnNQ,2016-05-24
41064,4.5,None,Brad,7,1,bWMlAigyIVc9UsoBSRsOWA,2011-12-16
41472,3.44,None,Mia,9,0,4CGkfcAhxHsSECAKGnqbNw,2017-07-22
42755,5.0,None,Jose,1,0,UJF80dFKZy-gyvqrNr_Wag,2017-02-26
43070,3.0,None,Allison,2,0,ippL6JKG22NSI2Wk2RBiaw,2011-02-25
43123,4.8100000000000005,None,Rachel,16,0,QOwKaQeH0ZUOuhe3u2yRGA,2010-11-20
43501,4.0,None,Donna,1,0,Stv98FmVlaABTHzSCdvSEg,2017-10-14
44620,5.0,None,Arnold,1,0,LH0sPKD1FBntSV3ROc7ehg,2017-07-06
44977,2.5,None,Natalie,2,0,sA9VHahhOJYhyj9xmjMvVg,2017-03-11
46223,4.5,None,Janice,2,0,LHOTEAJrJ__4qMmszu2grQ,2014-08-14
47106,3.65,None,N,20,0,JuONu3RAtir1SjGFbwH0HA,2014-03-25
47560,5.0,None,Little,1,0,B6GhglpQNd4K5-ufWOOqeA,2017-02-06
48111,3.75,None,Michelle,4,0,-I8-z4k5CJ0kgkT-KCnRbA,2017-06-02
48769,4.0,None,Sami,5,0,4Uc_mIZmVxdkphwciwlP-g,2012-09-14
48996,4.0,None,Nora,6,0,_pCyVcB7upjgVpQjnr3vyQ,2017-05-20
49259,2.54,None,Philosopher,19,5,1UaIJGaiwlyrf0_jLck6kw,2011-06-02
49668,3.9,None,Amanda,10,0,JMQm_ROFpv2bA7l9AEzD7w,2011-07-14
49681,4.14,None,Maya,7,0,VJhaafFgvSsEBVHGJY12Xw,2015-10-09
49858,4.1,None,E,19,20,yeviL062OUk-CjileTr2Pw,2015-10-23
50014,3.56,None,Quinton,15,2,KXh4jgWipahutKUeMIyJAw,2014-09-05
50806,3.75,None,Christina,4,0,LbNEqpHg0E8h_e9H6YYQOw,2016-01-12
50999,5.0,None,Jian,1,0,pNZWxvCBZAyxsXwDxcrE9Q,2015-08-09
51735,4.18,None,Namrita,17,0,xlcq4aIqyOyJeailiey4-w,2014-07-01
51908,4.67,None,Tracey,3,0,ITvA_UrSKcytad3KW0a14w,2010-02-02
53758,3.79,None,Jen,19,0,pvjZ0a0ZuMfYFbEitx4CqA,2014-12-26
53907,3.13,None,Guillaume,45,19,K9Kpby7W1OpmdAE88q2yYw,2015-04-26
54009,4.0,None,Senaid,4,29,yu7Ju2qViIfojHAkUJ0TBg,2009-07-06
54359,5.0,None,Eddie,1,0,0ffh7dJLq-4ek7uSBmudzQ,2016-01-06
54378,3.25,None,Krysta,4,0,qqTLSe5okwGzQeoe1fmRUg,2012-06-04
54864,5.0,None,Natasha,1,0,w6dQ5UIKTRYvl9TIBm7Iqg,2016-02-21
54872,1.0,None,Victoria,1,1,YEC7r_76Q2mqAAJlYiMchw,2017-05-13
55497,4.25,None,K,16,0,0QCPRkjl5iA8aBYp1ZI50w,2015-04-04
55613,3.25,None,Catherine,4,0,Y76dnVJlqCHODU7oAc3U4g,2017-05-08
56191,4.0,None,Stephanie,5,0,B0Oqj5OOg_tQNQIofzYHEg,2017-02-24
56775,4.17,None,Sarah,6,0,b7opCP9gKqGEkRemnVAv2A,2015-06-28
57496,3.91,None,Tavis,34,35,b14IUX4f9lRPYg3cNXNA_w,2012-07-23
58001,3.0,None,Katherine,2,0,fkvkv19p7E7EWOxbDvIk4A,2014-01-05
58362,3.0,None,Vana,2,0,inoI7AwvtCBkg3A2kw_k1w,2015-11-05
59261,3.81,"2013, 2015, 2016, 2012, 2011",Anni,158,176,H3tbSSoX5FbCyKxl4Fu6gA,2010-11-01
59420,3.13,None,Shawn,8,5,onhciJtZV4mYfD65PsRoOg,2012-01-16
59634,2.4,None,Natalie,5,0,9_1mgyv4srvOJK6gEoPoBw,2014-03-30
59779,3.1,None,Laurie,61,33,RQnLCAqn6KGgv-r2mZAELQ,2010-10-24
60419,4.8,None,Amy,10,0,QPV6_bqRiHQ5Lx7vARFhOA,2014-05-07
60798,4.2,None,Andrea,4,0,fAJJWtw1MtObYi03wqPECQ,2013-01-25
60941,3.0,None,K,6,0,bsQHOIg8jgsSULnpm7o50A,2015-06-14
60986,5.0,None,Katherine,4,0,BHTFgUfyRylY233N4pK4dA,2011-11-18
61412,4.0,None,Jia,15,0,h4cE5sMqYrUH0qWcfoWg7g,2015-09-02
61553,5.0,None,Imraan,1,0,oJPW6SLYGHdEzedNTJJv8Q,2015-09-08
62035,4.57,None,Betty,14,2,BYTI34s-Q1FaYlxVtD3_lA,2015-11-10
62850,3.75,None,Isa,3,2,47R5xhLhoprA8xYkS21x9Q,2015-03-18
63283,5.0,None,Shireen,1,0,eSe2nRQt6ivmv7qkYLMJyA,2013-07-11
63339,2.0,None,Herb,1,0,v4Koy3DFA5VVlj-5naI7UA,2017-02-12
63569,4.0,None,Pallavi,4,1,dWkgrwnq_y8CdQC7wrKBHA,2011-09-02
64230,4.0,None,Liz,2,0,ckwE3EhP-_WQz8AmIfXH5w,2016-06-19
64762,4.08,None,Vincent,24,3,bKdqhScgSSB8g_lE0GdPOw,2010-05-01
65612,3.08,None,D,13,1,qk1Va_KNrVhTHvL4zgfTqw,2013-09-24
65992,3.67,None,Ed,3,2,84FWh_Skw54TKJswWj_E0g,2015-08-13
66684,5.0,None,Sepideh,1,0,27ntQL-8kVHGw8JhdE1Bcg,2012-01-03
69061,3.88,None,D,139,6,XPAJ2KHkCwBA0vafF-2Zcg,2017-05-09
69166,5.0,None,AJ,8,1,h7u6PhoSnh-NzFQm41z2xg,2013-02-17
69655,4.0,None,Deb,4,0,6BQwM3Qpt4ht5GreNkpY4A,2015-12-26
69709,5.0,None,Amanda,1,2,6VQOEI9oKfGWWqWQR5iUHg,2017-04-19
69916,4.25,None,Ailene,8,0,l0v82oT2T3_16WTFzZjTNw,2011-08-15
70050,3.33,None,Julienna,9,0,U17vuGAMOVX_LWgf6JVHLQ,2013-06-17
70261,2.71,None,James,7,0,HDX6tMwHcak4hiGxR-kWEg,2015-09-01
70458,4.8,None,Jay,5,1,WUF3FYRVVlosetu00r9zEg,2013-04-18
70986,3.63,None,Lily,48,2,B8opqyAy30zdPyr4gQkhLA,2014-04-07
71316,2.86,None,Rob,7,42,SnF7RDp5RARkkFwEoybfWw,2010-05-09
71619,3.73,None,Esther,10,2,uAtFce8Bfc2ZlltwptafeA,2012-07-08
72203,3.75,None,Chelle,8,0,2wdw5FVOjYIlXXC9yZ02PA,2014-10-16
