,business_id,city,latitude,longitude,name,postal_code,review_count,stars,state,ev
12,2j5hnwYzS-YLJn6IFqloCw,toronto,43.64867810000001,-79.3972345,I Wings,M5V 2A6,4,3.5,ON,0.0008654775498789374
13,_T8qy9XAKAFLJdmoLg1Q-g,toronto,43.7729924508,-79.4140518612,Burrito Boyz,M2N,121,4.0,ON,0.005820445728561465
14,FI6XxleZ6Z1xJ9BS4zLKgQ,toronto,43.7743736325,-79.41404281310001,Chan Yang,M2N 7A1,3,3.5,ON,0.0005144226029254423
15,Bw_rDtU2REt7ZlkPWT21kg,toronto,43.7420185,-79.5910764,Sunny Foodmart,M9V 4B4,4,4.0,ON,0.00012846409176070638
16,2tg7rpwAbrex81bMKOnOtQ,toronto,43.699097200000004,-79.3597232,Loblaws,M4H 1P6,10,2.0,ON,0.0001785284751621487
17,vwVoksbTKehDP8ZGUQaVfQ,toronto,43.7210775,-79.61376690000002,Sweet Mahal,M9W 0B5,25,3.5,ON,0.0006046776804685813
18,AoItX6upESFG_EowRa05eg,toronto,43.664344799999995,-79.41439129999998,Ave Maria Latin Café,M6G 1K8,27,4.5,ON,0.002432382661251927
19,Omn2qqVcTpH9J883EVhQ7g,toronto,43.66856370000001,-79.39545890000002,Quesada Mexican Grill,M5S,16,2.5,ON,0.0016790268760856135
20,Gv8u5bX_Kd7HG7jkeF_vWA,toronto,43.6822547,-79.32801359999998,Ten Feet Tall,M4J 1N2,5,3.0,ON,0.0002891128488162924
21,3YKV1eralyrKQqoWOTJMDA,toronto,43.6535007,-79.42760899999998,Giulietta,M6H 1A5,12,4.5,ON,0.0016645582394586252
22,ZP_1K8uC-YGbdPQ0KfNJog,toronto,43.6537193,-79.4258332,Folly Brewpub,M6H 1A4,24,4.0,ON,0.0015818118435493077
23,p7vvL9T6iXiL7c9I2gPGEA,toronto,43.64842,-79.3819,Lindt Boutique Toronto - The Path,M5X 1A9,7,4.0,ON,0.0006520495741751742
24,xS5Tg_H9GBEyOTWl9JwhvA,toronto,43.658643700000006,-79.44084029999998,Latin World,M6H 1N6,25,4.0,ON,0.0015880212926427308
25,YSBOJuLA70d6s1fAWBjbAA,toronto,43.6586622,-79.4407564,Galaxy T&T,M6H 1N6,5,5.0,ON,0.0001650814376559602
26,SS0zUU0cUkQd1Lp_h3tgaQ,toronto,43.6649625542,-79.4113332276,Hero Certified Burgers - Bloor & Bathurst,M6G 1K3,19,3.0,ON,0.002475423561444073
27,b0la3LqC0mIlBVlQDyMyTQ,toronto,43.6623822,-79.4243452,The Wing Company,M6G 1M4,34,3.0,ON,0.0020482354647082452
28,YA7kPicnPFqd_gydw0SOjw,toronto,43.662622,-79.3863994,Presse Café,M5S 3K6,10,3.5,ON,0.00041921048111729693
29,YkAIlxYZ1guSqbbowU9X4g,toronto,43.6446974,-79.39239509999999,Luckee,M5V 3T4,171,3.5,ON,0.013918709917990055
30,D_VpAGPNEde64N0CwXMkiw,toronto,43.6772213,-79.3529116,The Second Cup,M4K 1N7,10,3.5,ON,0.0001309719621257481
31,sYKB4nITCLLFcCZPn3QECQ,toronto,43.665279,-79.38594499999998,Teppan Kenta,M4Y 2X6,58,3.5,ON,0.005265681988483461
32,ii_zDR8crbQVJehMMWoCkQ,toronto,43.8067504,-79.28885809999998,Marathon Donuts & Coffee Shop,M1V,76,4.0,ON,0.00955680224827886
33,4SQvBWjDh_eUx_10M-eigA,toronto,43.6591967,-79.3479061,Lan Restaurant,M4M 1H3,34,3.5,ON,0.000950489520738647
34,QoXT0qI6_3WeHImUuLAyjg,toronto,43.6530078233,-79.37141849560001,The George Street Diner,M5A 2M6,110,3.5,ON,0.009401822931681689
35,webM3oChwDCkzZEmjrSeHQ,toronto,43.6695736876,-79.3823492115,The Croissant Tree,M4Y 2G1,52,3.5,ON,0.002910179139483541
36,uO0isEg1fCvL0BqfDRbVjA,toronto,43.7247752,-79.4553801,Godiva Chocolatier,M6A,4,3.5,ON,0.0007438070876500691
37,cA5DOLBmD_XoNmgj7e3caA,toronto,43.7547555,-79.3499924,Fox and Fiddle Yorkmills,M3B 1Y6,47,3.0,ON,0.0019095230059742508
38,_fe36eepp9tsP5vzvKbdQA,toronto,43.64863620000001,-79.3817439,Furama Cake & Dessert Garden,M5X 1A9,17,3.5,ON,0.0013587171722471523
39,42-UJ-c_97IeqUc6BWjmnA,toronto,43.7268982,-79.3420715,Pho 88,M3C 1V6,66,2.5,ON,0.0027212682228146515
40,Jy96qxfFFH4Wa-KhkmwSMw,toronto,43.6759283,-79.45087509999998,La Paloma Gelateria & Cafe,M6E 1C5,68,4.0,ON,0.0077686672257839635
41,iQ6ydwCOKHlz8BPpJpj2Zg,toronto,43.6796762,-79.43610190000003,Yummi Café Laundromat,M6E 1A1,4,3.0,ON,9.439654031107343e-05
42,qWWVizgVxBaXXbE8Y-7-qA,toronto,43.7076725,-79.3981607,Pizza Pizza,M4P 2C6,14,2.5,ON,0.0005644099537022199
43,k28OVH_iA7vI5dPtfNH2Zw,toronto,43.7186121,-79.4559215,Manhattan Classic Grill,M6A 3B2,4,3.0,ON,7.565069151793847e-05
44,neBW0IYhxkj9zE7R4TA3BQ,toronto,43.6129820927,-79.5583543809,Chipotle Mexican Grill,M9C 1B8,10,1.5,ON,3.4962711366484295e-05
45,E9K1wSwr-3y7TIaVaoa-9g,toronto,43.655553999999995,-79.376572,Irish Potato Nachos,M5B 1Y7,4,3.0,ON,0.0017424393619501865
46,wL5yGvlL1zXZ4EPJ8d0hIA,toronto,43.7075497,-79.398122,Rolltation,M4P 2C6,73,4.0,ON,0.005057206547191202
47,DQf63-KJ25m-kDIMto614g,toronto,43.6508652,-79.4124287,Saving Grace,M6J 1V9,184,3.5,ON,0.012679781881923629
48,NrFsdILQztHSlIUNra82nQ,toronto,43.6651873,-79.38058740000002,Juice Box,M4Y 2C6,12,5.0,ON,0.0010955521503743086
49,nyM76RUyFzekHHmYEU-KBQ,toronto,43.6549946,-79.3866757,Eat Fresh Be Healthy,M5G 1C7,172,4.0,ON,0.014229108403363428
50,ryF2_VC8OSNoe3VlA3bbkw,toronto,43.6700794,-79.39328959999997,Shogun Japanese Restaurant,M5R 1A8,51,3.5,ON,0.004541337583265856
51,aTvzqD5Kot4vp3vOnDyrTw,toronto,43.7078026,-79.3985359,Messini Authentic Gyros Yonge Eglinton,M4R 2H1,82,3.5,ON,0.007246851591462044
52,YDqXkXVkoRxXoXH9aEZGLg,toronto,43.65291,-79.3975229,South China Herbs Market,M5T 1H1,4,4.0,ON,3.204377960260127e-05
53,oICXzFAaUMrYGzjRWmkw4Q,toronto,43.656345,-79.3989615,Anh Dao,M5T 2G6,85,3.5,ON,0.009161438195458392
54,yENVQfQhSljHGz-BbHHKQg,toronto,43.7887023,-79.2667077,Farm Fresh Mart,M1S 1V2,10,3.0,ON,0.0015595101704577008
55,tgjbQEtZ_bvQBJOlfiK1OA,toronto,43.6715509,-79.3888742,Mideastro Yorkville,M4W 1L4,28,3.5,ON,0.0023613291275089614
56,sTigKodOrD_HIdcZ8msGJw,toronto,43.6836027,-79.32308859999998,Sunset Grill Restaurant,M4C 1H6,32,3.0,ON,0.0011687116150406647
57,prPzWXNUJKZGnzVYqxRLsw,toronto,43.7031107,-79.3876981,Cafe Pleiade,M4S 2M5,7,3.5,ON,0.00012753126583468926
58,h0TKP2PK0QaAqvqdILU1Vg,toronto,43.657233500000004,-79.4480427,The Gaslight,M6P 3L4,17,4.5,ON,0.0013082726340719537
59,G7FRxL25QFiuVxUeTmKXjQ,toronto,43.7061727,-79.44241640000001,Paul's Tomato Pie,M6B 1R7,4,4.0,ON,0.0002887832539161768
60,gcec09O3lhUrzqXNJq0QVQ,toronto,43.736206,-79.42037540000003,Karbouzi,M5M 4A6,14,3.5,ON,0.00047496983702285397
61,14m4FbWr2BIgrbSdPBKG8Q,toronto,43.6563207,-79.40256219999998,Debu's Indian Cuisine,M5T 2M2,6,3.5,ON,0.000328670156991038
62,6a7zecn8W8r9dDWwQVb6aA,toronto,43.6775605,-79.44513859999998,Novecento,M6E 1B7,7,4.5,ON,0.0004212039525391979
63,QJhwQcFKtBn8EahP58nh1w,toronto,43.6558987,-79.40255090000002,The Grind House,M5T 2M1,19,3.5,ON,0.0023587150872511537
64,NNs2v3f6FIdZ7cSu3LRaHw,toronto,43.725725099099996,-79.4820323753,Euro Shawarma,M3M 3G5,50,4.0,ON,0.0010663323275722258
65,3iq7mvnwfYlOmdzENYolng,toronto,43.7986682795,-79.3181378541,Hutaoli Music Restaurant & Bar,M1W 2S8,18,3.5,ON,0.0010481525693635516
66,TYMcEGCe0csyQiELkL7bQQ,toronto,43.67174110000001,-79.38494720000001,Rabba Fine Foods Stores,M4W 1J6,9,2.0,ON,0.0007913098251035768
67,astpBnUjzZEQEAvgn_113Q,toronto,43.708723299999996,-79.3987793,Mind Games Cafe,M4P 2E6,4,2.0,ON,2.1513335993211337e-05
68,kl2kuAgGZ7tfi9kznMhQNA,toronto,43.6570217,-79.3993567,Crimson Teas,M5T 2G6,23,4.5,ON,0.0009053432737627761
69,2VtTzskzFcwVnXgGYsY1lQ,toronto,43.787913,-79.264716,The Captain's Boil,M1S,48,3.5,ON,0.0022240673756767824
70,JeuwGHY3knsBKt3KegjqrQ,toronto,43.64761729999999,-79.486769,dip 'n dip,M6S 1R7,10,3.5,ON,0.0008521855561608037
71,4U9hnKTGidPKOSu_28m9dA,toronto,43.638121228500005,-79.41900298,Merci Mon Ami,M6K 3P6,25,4.0,ON,0.0018618284197317227
72,qCTuGaciae73u7C57s2_0Q,toronto,43.6888991,-79.29950129999997,Poonam Delite,M4C 1L4,22,3.5,ON,0.0006967939388731411
73,qqU3d8IpcIw2BJrsGxSL9Q,toronto,43.6544631,-79.38066529999998,Schezuan Express,M5B 2H6,7,2.5,ON,0.00019155317995876936
74,WwrKHFXpBqLQAkhmU01Xvw,toronto,43.71917070000001,-79.45584090000001,Seoul House,M6A 2T2,71,3.0,ON,0.004105957730762042
75,8al-XRt5nuIize8_STWffQ,toronto,43.6431907,-79.42390290000002,King Slice,M6J,53,3.5,ON,0.00560052536775106
76,wHTPHng-wWg85AF_y8IDuQ,toronto,43.6559041,-79.383606,Feta & Olives,M7A 2C7,6,3.0,ON,0.0004353445504314868
77,e5Ut3UyuCV9rxhm2lRrXQg,toronto,43.6504938,-79.47976120000001,Java Joes,M6S 1P2,5,3.0,ON,0.0002767867491451239
78,Rp7ABbhY8kUpgwrzJADnqw,toronto,43.706382399999995,-79.3977847,Tim Horton's,M4S 1S5,10,2.5,ON,0.0007712756439544247
79,p6mnPa2-__9ttPTIfecc0Q,toronto,43.6590216,-79.3491051,Subway,M4M 1H1,3,2.5,ON,0.00018211086357026803
80,1E1BN1eJQX7j6EdepVxoMQ,toronto,43.6511193,-79.47695340000001,Astra Meat Products,M6S 1N6,11,3.5,ON,0.0004132816619480293
81,Og37JqBjJDpFb6oIscyrtg,toronto,43.655864315900004,-79.39946061149999,Krispy Kreme Cafe,M5T 2G7,23,4.5,ON,0.003622485135625033
82,5sKb4h7R5gdhePSflPD0Tw,toronto,43.754089,-79.3579885,Kiku Japanese Cuisine,M3B 1X8,87,2.5,ON,0.0025046544962565973
83,UAXz2KC1aXpxzV-MLdXbmQ,toronto,43.672577200000006,-79.28851590000002,Delhi Bistro,M4E 1E9,30,4.0,ON,0.0012529297117206321
84,IZlRDHCBtT81hzRHi_GDbQ,toronto,43.6496153,-79.37198659999999,Ying Ying Soy Food,M5E 1C4,8,4.5,ON,0.0012689538795180061
85,QkVDxEo5-_3EScH0cXKDfQ,toronto,43.6812098,-79.42647679999997,KIBO Sushi & Tapas,M6C 1B2,39,4.0,ON,0.001649500896281991
86,OQed6yRev3Jq6a-9BclpTQ,toronto,43.7679501,-79.402688,Road Grill Food Truck,M2N 3K5,8,5.0,ON,0.0006745389923247282
87,kBYBXh7M9wKXvHgluJWiLQ,toronto,43.7868388044,-79.2769266665,Annie's Tea House,M1S 2C1,10,4.0,ON,0.0016797069416838303
88,96X4OwboB2qCLY7tQ20wMg,toronto,43.7247752,-79.4553801,Rainforest Cafe,M6A 2T9,40,3.0,ON,0.002295996339061795
89,UZilBC8-jkGrR8y9AFrCgA,toronto,43.722917100000004,-79.41556429999999,Maker Pizza,M5M 3X3,12,4.0,ON,0.001609915456713409
90,yuFdJdrnfMp3cfXVwTXjjA,toronto,43.679612899999995,-79.3413385,Nakayoshi Izakaya,M4J 1L2,50,3.5,ON,0.006126839770557893
91,vDretNqzo-0yqQkV5wOvbg,toronto,43.6010168,-79.5034124,Placebo Space,M8V 1J1,8,5.0,ON,0.00044545749794277194
92,-cuzw1pcZ_UcdA4Qxc5YYg,toronto,43.7758099,-79.414276,Little Master,M2N 5R6,8,3.5,ON,0.0003132009482739845
93,NBXPDU6VBgg54BEr7s8WWQ,toronto,43.7358895,-79.60262359999999,Ital Florist,M9V 5E2,3,1.0,ON,2.0303522912193603e-06
94,gULK714e4SMqag-FHLDLNw,toronto,43.6492365,-79.38535920000002,Lindt & Sprungli Canada,M5H 3M7,3,4.5,ON,0.0008201519332782243
95,Lyzr1uckXL0U-iBoMc0yfg,toronto,43.6909078983,-79.575564784,Makimono,M9W 1J1,50,3.0,ON,0.0007761208813778506
96,_yGc7ca7SxPKMG6VjMVAbg,toronto,43.6516825,-79.4743881,Green Mango,M6S 1N3,21,2.0,ON,0.00046315016296703224
97,OFbiUooV4CqLjrvdOBXz-A,toronto,43.6500835,-79.43899820000001,Branca,M6K 1V4,80,4.0,ON,0.005131179489964246
98,XESfvE2Yd7ZzjKNAJ4R_Ow,toronto,43.6713973,-79.2940969,Prana Coffee,M4E 1E3,4,4.0,ON,0.00035730194177393046
99,hT5kvnJnBWzUWrSpqg3byg,toronto,43.6566701,-79.3753603,The Sky Stars,M5B 1E4,3,5.0,ON,2.257070288005381e-19
100,5sW_LUzCTNUPRrie1eoiyA,toronto,43.6486092721,-79.380828297,LCBO,M5X 1A9,6,2.5,ON,0.0007399962497286036
101,j7kbWAOWbpbejCaHyJwqjw,toronto,43.6862567,-79.3099942,Time Capsule Board Game Cafe & Bar,M4C 1K4,16,3.5,ON,0.0007038850129634114
102,uQ7LZpcYRTcibzK1w9E5uQ,toronto,43.6477703,-79.4006569,The Healthy Butcher,M5V 2B6,39,4.5,ON,0.004846727832286502
103,fIBrbhvU9T2PZuch_wBK_g,toronto,43.7314258,-79.41945940000002,Panago Pizza,M5M 3Z5,7,3.5,ON,0.0003059429284913808
104,fxRcHzovnRyWh_WMdQoNOQ,toronto,43.7687078154,-79.474382177,Taj Restaurant,M3J 2T2,8,4.5,ON,0.0009648935598079075
105,hDZJlt9R7FvfCy4AZvP-JA,toronto,43.669008700000006,-79.3042677,Dufflet Pastries,M4L 1H3,25,3.5,ON,0.001290306739981167
106,DPLkYvNHNBEs0teU95Ocfw,toronto,43.65442520000001,-79.4005439,Miss Cora's Kitchen,M5T 2K2,30,3.5,ON,0.0031831207542195278
107,oreF3CPWsX2lHq0V4AZQKg,toronto,43.758688,-79.2889502,Desi Hut Takeout & Catering,M1P 2G7,3,4.5,ON,0.00030308708700775317
108,skjXX8qzEMeZ5Jgj6SpxoQ,toronto,43.65882910000001,-79.39412929999997,The Second Cup,M5T 1P7,11,3.5,ON,0.0009768920640001644
109,Y8heNCqlpiUVxpXxcstq8Q,toronto,43.652511385699995,-79.4010374871,House Of Energy,M5L 2L4,7,4.5,ON,0.00016090301338254393
110,la4mM0mSexjkOLe1goXJPg,toronto,43.7644706,-79.41032790000001,Hotopia Sichuan Cuisine,M2N 3G1,15,3.5,ON,0.00038908938036016964
111,zlukBS-cXNz4viHfsVyoZw,toronto,43.7019519992,-79.3973290175,The Butchers Son,M4S 2A3,8,4.0,ON,0.0010709426433206353
112,pA44gWen_SoKoLqfiipkvA,toronto,43.6645888,-79.3797656,Adam & Eve Chocolatier,M4Y 1E3,9,4.0,ON,0.001996790423553522
113,ynmTXY9yJDiNkO4HUmxRSQ,toronto,43.6573960642,-79.3842242722,KaKa All You Can Eat,M5G 2K4,78,3.0,ON,0.0027124657183091186
114,qRTbYc7ennnwfr992kfjdA,toronto,43.639170799999995,-79.4254538,Caffino Ristorante,M6K 3C5,75,4.0,ON,0.0066115311581486464
115,bB9JPvR2d-I1jxSVlqN2DQ,toronto,43.6689076,-79.304192,Yum Croissant,M4L 1H3,3,4.5,ON,1.0544705837294284e-05
116,ZMmgFw2P4LWsFXNn1ZGc1g,toronto,43.672529,-79.3878412,Buster's Sea Cove,M4W 2J1,12,3.5,ON,0.0018610356756001507
117,2V8r_VDFqbGNZclTW25FGg,toronto,43.769236,-79.46858399999998,Mr. Greek,M3J 2V5,7,2.0,ON,6.75571148415102e-05
118,hbp72ML8BHykBztI6mWOIw,toronto,43.64946,-79.365449,Pizza Nova,M5E,11,2.0,ON,0.0002019008070513031
119,nHV1iXKBVlCW64bCt4itnA,toronto,43.6476402,-79.35339809999998,Keating Channel Pub & Grill,M5A 1B1,31,3.5,ON,0.002313693464625765
120,eQmGP0FEnewPoW_jBXsg4A,toronto,43.648258,-79.37955799999997,Greenhouse Juice,M5L 1E2,10,4.0,ON,0.002364611305859571
121,le1qCRgM-wtKvfeKClbnHQ,toronto,43.6664844,-79.4058478,Tokyo Sushi,M5S 1X2,10,3.0,ON,0.0006491151683288864
122,r71RUi85E60aGuhVqXWjKA,toronto,43.7079638335,-79.4774818048,Hakka No 1 Restaurant 2,M6M 4A2,33,3.5,ON,0.0010551871632576673
123,53GguDU6v46zPJTL3CZl5g,toronto,43.6621038957,-79.3797745184,Loblaws,M5B 1L1,172,4.0,ON,0.023157998248951286
124,jxV-rtwx1GtpMlMV6d7D4Q,toronto,43.7649093,-79.25913270000002,Wings & Wings,M1P 3G2,6,4.0,ON,0.0001442149954220486
125,pPO_UXvffah1uKhMlo9LBw,toronto,43.6594566588,-79.4387515696,Haven Espresso Bar,M6H 1T5,27,4.0,ON,0.002006217252838851
126,CN5nuUQod0f8g3oh99qq0w,toronto,43.665157,-79.410658,KINKA IZAKAYA BLOOR,M5S 1Y6,403,4.0,ON,0.04531707920307687
127,0rg8sJGPWebnxNFExpNdHA,toronto,43.6451848,-79.5224953,Starbucks,M8X 2X3,3,2.5,ON,3.387987778978477e-05
128,R8ft_fn8y9ejKoYnQwdByg,toronto,43.6509844,-79.411692,Cafe 668,M6J 1V9,46,3.0,ON,0.002611155763540561
129,eOXoQvgHyYLaqcpRxRUlTA,toronto,43.665423499999996,-79.4107791,Wing Machine,M5S 1Y3,7,1.0,ON,0.0003847467437221134
130,OQknXfMqo6izK9baqpfinA,toronto,43.672808399999994,-79.4141944,"Madeleines, Cherry Pie and Ice Cream",M5R 3G8,12,4.0,ON,0.001570493565156166
131,gkQNfTEV_XprRvnfZEXPWg,toronto,43.6371787,-79.42458620000002,Mike's Liberty Grill,M6K,16,2.0,ON,9.637062596704258e-05
132,Da1wKWu_ma26i71GKtWDrw,toronto,43.64863620000001,-79.3817439,Decadent Desserts,M5X 1B8,11,3.0,ON,0.0010974017543562546
133,VbFGfmrl0VtXc10vKpj5aw,toronto,43.638766600000004,-79.38979,Porticello Restaurant,M5V 3J3,3,3.5,ON,0.0003950495748694276
134,q9kVbGaUwsalkhyFJdNQ0Q,toronto,43.6389539047,-79.4178445594,Aroma Espresso Bar,M6K 3P6,42,3.0,ON,0.0043845422332997085
135,yBGqf8l9NOM3vZFnlxcgzQ,toronto,43.65489829999999,-79.4164765,Vivoli,M6G 1B7,69,3.5,ON,0.0034898087581325915
136,Orgm9nmcClxnAUva4nOKyA,toronto,43.648847496,-79.37368318,Hot House Restaurant & Bar,M5E 1T3,291,3.5,ON,0.020915414018549988
137,vAcwjwtHupHOc7f4XLH8Kw,toronto,43.7713291221,-79.4993519483,Snap Delivery,M3K 3T8,5,3.5,ON,0.00017453094726618793
138,VNyWT0hLkIHzt5HQ0W4tSg,toronto,43.6469296,-79.374978,Tilted Kilt Pub & Eatery,M5E 1A1,74,2.5,ON,0.003945438850771197
139,W2NzlS8OJzGfDfr9oRz11Q,toronto,43.64935420000001,-79.3846843,Drake One Fifty,M5H 3S5,201,3.5,ON,0.015891507030613677
140,ui-tH5JiK-y5_tzSuowMDw,toronto,43.6648375,-79.385935,Nejibee Izakaya,M4Y 2X6,7,2.5,ON,1.0172106381859354e-05
141,BopPNhmn66uUDL2dVyDjHg,toronto,43.65824110000001,-79.3997179,Tandoori Flavour,M5S 2G8,4,2.0,ON,0.0001471295065184103
142,2lQVNwzNo-SbVD5lXzNnZA,toronto,43.658359999999995,-79.44224940000002,The Caribbean Queen of Patties,M6H 1N7,46,3.5,ON,0.0031826197583949326
143,DeGSNRgk2sAfYbliAa6m2A,toronto,43.634302069600004,-79.5198344385,Second Cup,M8Z 4R6,3,2.5,ON,1.203109858956544e-05
144,B7yBxYH0ZHYtvrsyrrU1SQ,toronto,43.8106371,-79.33919709999998,Steak Supreme,M1W 2P3,15,2.5,ON,0.00036256256043461796
145,S5bNE4Pmin8OQUMOFod8bQ,toronto,43.670475399999994,-79.3936453,Ciao Wine Bar,M5R 1C4,122,3.0,ON,0.009162535558332133
146,NYpmDzwzAQyv0gQG5gBKbw,toronto,43.676294899999995,-79.3582997,Pachuco,M4K 1N2,22,3.5,ON,0.00372791046033557
147,2KkTzafNqkEKr5VTjsR3hw,toronto,43.836590444799995,-79.2486990988,New Spiceland Restaurant,M1X 0B1,5,3.0,ON,0.0002535902603024991
148,DLkaSKMoeeQO-_1C_lzh2A,toronto,43.6532223,-79.4287255,Bairrada Churrasqueira Grill,M6H 1A7,100,3.5,ON,0.009528901534119106
149,6NffysI3E7L4kr71dxInIg,toronto,43.7527891,-79.35920209999998,Big Smoke Burger,M3B 1X6,40,3.0,ON,0.0007100392274640301
150,QZCAx1CM8Q5NSTc-8ProOA,toronto,43.6557771,-79.4026824,Cafe Novo,M5T 2L7,19,3.5,ON,0.00138131182600846
151,AOhJfJVuEPUh_in7WHDnzQ,toronto,43.6889196,-79.3945875,Subway,M4T 1Z6,3,1.5,ON,1.1494035893332879e-05
152,scVd-lmZCNZHK5W75-4sKQ,toronto,43.655944365299995,-79.3767318882,Dac Biet Burger,M5B 1Y7,122,4.5,ON,0.009807892687161764
153,_nsuZ7Fl1aMwqZGWEraQHw,toronto,43.6179340342,-79.5391701027,Cora,M8Z 1T8,46,2.5,ON,0.0016147641341384207
154,8pO590eqmSe9iLVc-d183g,toronto,43.7185989,-79.45540140000001,Gobo Sushi Restaurant,M6A 2T2,7,2.5,ON,7.471134335871492e-05
155,1Lm1euBdgzxuPGjJbHTudg,toronto,43.6479391,-79.40034920000002,Grasslands,M5V 2B4,64,4.0,ON,0.003903570757724037
156,s-9ZfWtECJLMnND12t6RMA,toronto,43.65495429999999,-79.41466070000001,Hotmess Tex Mex,M6G 1B5,13,3.5,ON,0.0005291714684110193
157,j_aPSU74xzffmw0lcrY8kQ,toronto,43.7759804,-79.41432579999999,Capriccio,M2N 5R6,60,3.5,ON,0.007339853159105213
158,8ZpXbFWIY4uEnmOJMr6gyQ,toronto,43.655321,-79.413309,Pour Boy,M6G 1B2,12,4.0,ON,0.0009660089666879452
159,AhRd1MUgnXhCQTTIu3Z2SQ,toronto,43.6405545983,-79.39128612020001,Spot Coffee,M5V 3V3,47,3.0,ON,0.003780978856737088
160,aep2Dc7tdI1IVUGaVRjRJQ,toronto,43.66634929999999,-79.3853278,Sport Nutrition Depot,M4Y 1Z8,3,4.0,ON,0.0004128639232547934
161,xkoQ1c4c6F9Fy3J73kN7Rg,toronto,43.688790948699996,-79.4125807285,Second Cup,M5P 2W3,4,4.5,ON,2.470011001287281e-05
162,VM8LZTKqtprMEs0h3CDOXA,toronto,43.6550126,-79.40210259999998,Big Al's Flyin' Phillys,M5T 2L8,13,3.5,ON,0.0007982681796846807
163,K6MBwTYeuLH0VsTVCLVgxg,toronto,43.708814200000006,-79.2959772,MEXITACO,M4B 2K2,65,4.0,ON,0.0034772569843517227
164,RJxkhoGxTsz545_sTlDdFA,toronto,43.688186200000004,-79.3929441,Thai Express,M4T 1L8,12,2.0,ON,0.0009271814842599902
165,qfLwyF-xr3Xpfo94-jcfdQ,toronto,43.647284899999995,-79.3870757,Quotes Bar & Grill,M5H,4,3.0,ON,0.00019516567133539482
166,3QRdvd5F6rnKzLLb1mIg6Q,toronto,43.6656556,-79.38060990000002,Hero Certified Burgers - Church & Wellesley,M4Y 1H7,42,2.5,ON,0.0023412782803913556
167,3XgqVF5YKdQLCWDKiEkt0g,toronto,43.6604577,-79.35014659999999,St. John's Bakery,M4M 2E9,19,4.0,ON,0.0020845839041034307
168,sdXhQco_76dRejNaxfgacQ,toronto,43.6551273,-79.41838990000002,Sit In Bangkok,M6G 1C2,8,3.0,ON,0.00027207881505039673
169,sGAbBm8eX6DY5R5S2NSy6g,toronto,43.6492855,-79.38585570000002,Shangri-La Hotel,M5H 0A3,121,4.0,ON,0.012972708897548936
170,SYGoFUdLLPyh1lZ9_nwOUA,toronto,43.648632318400004,-79.3825163762,Brick Street Bakery,M5X 2A1,36,3.5,ON,0.005194004490542181
171,ogUiKg4hL01zt2o2M5IZ3w,toronto,43.6456899,-79.3905064,Ame,M5V 1H2,23,3.5,ON,0.0021804872076192265
172,LBHbyID7tcaGszznHtnCrw,toronto,43.6554168,-79.3818268,JOEY Eaton Centre,M5G 1Z3,401,3.5,ON,0.03251106059628818
173,nxbVyDfknWtycymHluAzSA,toronto,43.6729833023,-79.2866801843,Skwish,M4E 1G2,35,3.5,ON,0.0003238603310658204
174,L23nB3EiC0OSfP8792Bk-Q,toronto,43.6570344,-79.37554490000002,RISE Espresso,M5B 2B2,26,4.5,ON,0.0017914316298461997
